conglomerate_id,size,rep_firm_id,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11,g_12,g_13,g_14,g_15,g_16,g_17,g_18,g_19,g_20,g_21,g_22,g_23,g_24,g_25,g_26,g_27,g_28,g_29,g_30,g_31,g_32,g_33,g_34,g_35,g_36,g_37,g_38,g_39,g_40,g_41,g_42,g_43,g_44,g_45,g_46,g_47,g_48,g_49,g_50,g_51,g_52,g_53,g_54,g_55,g_56,g_57,g_58,g_59,g_60,g_61,g_62,g_63
0,1,AE*Z00061201,0.2035771,-0.19173467,0.17923962,-0.096347384,0.26391795,-0.24359255,-0.2587737,0.28982905,-0.27617848,-0.21063581,-0.14827384,-0.24312267,0.20339921,-0.105384216,0.16116676,-0.26346064,0.1723804,-0.28355733,0.26237363,0.26359203,0.1508437,-0.18866935,-0.3145149,0.2641222,0.19555861,0.21307775,-0.27099562,-0.070978574,-0.25142112,-0.08697522,0.3514133,-0.22491936,0.27699628,0.164481,0.14563121,0.14860822,-0.1256841,0.24531758,0.2736927,0.23696996,0.218142,0.20413305,-0.10250879,-0.26534468,-0.07798982,0.27425927,-0.16430154,0.21755114,0.022096835,-0.18358706,0.13210036,-0.25992092,0.2556154,-0.23402761,0.30719948,0.23508772,0.13203079,0.31140482,-0.03379342,-0.08749015,0.2973521,0.15310107,0.1926998,0.06797099
1,2,AE0000001238,0.25543588,-0.24029401,0.22348233,-0.1269614,0.33166623,-0.307065,-0.32369125,0.35974216,-0.34718394,-0.26708448,-0.17796151,-0.3039548,0.2544762,-0.12829937,0.20168687,-0.32248896,0.21827844,-0.35499737,0.32311672,0.32726368,0.19394901,-0.2378319,-0.3923791,0.33348897,0.24265529,0.26450643,-0.33502743,-0.08581656,-0.3142331,-0.11457313,0.43831462,-0.28435054,0.34164733,0.20445637,0.17491741,0.18617007,-0.16055332,0.30993387,0.34038422,0.2945748,0.26963353,0.25516483,-0.12956902,-0.32774234,-0.099425144,0.339379,-0.2111932,0.2676801,0.028612778,-0.23229577,0.16705182,-0.3234115,0.31789073,-0.28888077,0.38082895,0.29403865,0.16470772,0.3891514,-0.044005856,-0.10937523,0.3657653,0.18561909,0.23885235,0.082115635
2,1,AE0000003829,0.1698018,-0.16074787,0.14847288,-0.08363547,0.22055443,-0.20488901,-0.21652715,0.24077399,-0.2309096,-0.17907274,-0.120032914,-0.20343444,0.1681382,-0.0848205,0.13541785,-0.21565615,0.1462738,-0.23708975,0.21642908,0.21824473,0.13023326,-0.15925951,-0.26365402,0.22280248,0.16260964,0.17564268,-0.2241663,-0.057107303,-0.20974015,-0.077504806,0.29251757,-0.19044612,0.22786988,0.1372684,0.1167607,0.12372613,-0.10790044,0.2069841,0.22656168,0.195638,0.17966938,0.16985984,-0.08717222,-0.21887088,-0.067122646,0.2267554,-0.14143738,0.17744245,0.01984456,-0.15542755,0.11152436,-0.21466477,0.21270579,-0.19308653,0.25635636,0.19782765,0.10942086,0.25942883,-0.028633423,-0.072570205,0.24407412,0.12473527,0.15969494,0.054556787
3,1,AE0000039169,0.1836428,-0.17112106,0.16817583,-0.0625744,0.23556004,-0.21116853,-0.2337166,0.2736762,-0.24591073,-0.17309871,-0.16397864,-0.21994793,0.1898398,-0.11374671,0.14363739,-0.2692699,0.14320776,-0.25591066,0.2584598,0.25092608,0.11154759,-0.16182606,-0.285036,0.2257091,0.1843826,0.20530546,-0.26198965,-0.078086086,-0.22962706,-0.050472815,0.3250045,-0.18918228,0.2735188,0.15269813,0.16420358,0.13544324,-0.09727977,0.20905858,0.2593083,0.22644106,0.21338013,0.18767272,-0.085141435,-0.2591253,-0.060330607,0.2647316,-0.12290342,0.22099687,0.013528107,-0.15401109,0.11200388,-0.24740633,0.23883279,-0.2288232,0.28769237,0.2089733,0.12351246,0.2856001,-0.025326902,-0.08110654,0.29760882,0.16248526,0.18392931,0.0753283
4,2,AE0000059691,0.24381772,-0.22950178,0.2133056,-0.12108327,0.3165914,-0.29320252,-0.309152,0.34360144,-0.33140868,-0.25514367,-0.1701022,-0.29031697,0.24276248,-0.12240048,0.19269599,-0.3079947,0.20850939,-0.33900052,0.30864212,0.3124728,0.18530454,-0.22717178,-0.37491465,0.31847185,0.2317953,0.25245005,-0.3199866,-0.0819215,-0.30005628,-0.10954397,0.41853395,-0.2716103,0.32621083,0.19534081,0.16702715,0.17769814,-0.15340976,0.29596642,0.32494164,0.2811518,0.25742787,0.24359128,-0.12381694,-0.31297147,-0.09504258,0.3240991,-0.20172925,0.25543734,0.02742317,-0.22186685,0.15951827,-0.30865756,0.30362,-0.27588412,0.36394143,0.28098544,0.1572068,0.37155157,-0.04192024,-0.1043818,0.34925514,0.17735882,0.22811286,0.07837666
5,2,AE0000392269,0.24244863,-0.22823003,0.21210638,-0.12039059,0.31481498,-0.29156896,-0.3074387,0.34169942,-0.32954973,-0.2537366,-0.16917604,-0.28870988,0.24138214,-0.12170535,0.1916365,-0.3062867,0.2073582,-0.33711547,0.30693644,0.31072983,0.18428586,-0.2259156,-0.37285662,0.31670222,0.23051554,0.2510293,-0.3182142,-0.08146251,-0.29838568,-0.10895134,0.416203,-0.27010897,0.3243918,0.19426663,0.16609736,0.1766998,-0.15256797,0.2943205,0.32312188,0.27957,0.25598955,0.24222745,-0.12313911,-0.31123087,-0.09452614,0.3222985,-0.20061402,0.25399464,0.027282987,-0.2206379,0.15863052,-0.30691895,0.30193835,-0.2743526,0.36195138,0.27944726,0.1563229,0.36947763,-0.04167447,-0.103793375,0.3473096,0.17638543,0.2268473,0.07793605
6,1,AE0000392303,0.19687174,-0.18589334,0.17218423,-0.09733131,0.25567818,-0.23718804,-0.25040296,0.2783812,-0.26766527,-0.20689428,-0.13834481,-0.2352101,0.19543065,-0.09856468,0.15636626,-0.24942724,0.16903532,-0.27436173,0.2501543,0.2527069,0.15037455,-0.18409716,-0.30434552,0.25779176,0.187913,0.20373355,-0.2592108,-0.066182636,-0.24277158,-0.089222535,0.33860573,-0.22013041,0.26383623,0.1585073,0.13514473,0.14346538,-0.12454462,0.23952773,0.2625423,0.22691308,0.2081081,0.19682574,-0.100574344,-0.25328642,-0.077333845,0.26235703,-0.163488,0.20596762,0.022616295,-0.17972648,0.12907724,-0.24904089,0.24595597,-0.22336821,0.2957036,0.22824107,0.12689768,0.30043563,-0.03349283,-0.0842047,0.28254214,0.14398137,0.18471752,0.06326846
7,2,AE0000565103,0.24821256,-0.23358418,0.21715517,-0.1233068,0.3222938,-0.29844633,-0.3146518,0.34970704,-0.33737603,-0.25966054,-0.17307515,-0.29547578,0.24719346,-0.12463186,0.19609699,-0.3134775,0.21220474,-0.34505168,0.31411746,0.3180678,0.18857451,-0.23120421,-0.38152096,0.3241524,0.23590332,0.25701064,-0.32567614,-0.08339489,-0.30541897,-0.111446366,0.42601642,-0.2764296,0.33205003,0.19878899,0.17001182,0.18090282,-0.15611197,0.30124992,0.33078313,0.28622934,0.26204494,0.24796923,-0.12599279,-0.31855887,-0.096700385,0.32987905,-0.2053092,0.26006845,0.027873166,-0.22581182,0.162368,-0.31423858,0.30901822,-0.2808004,0.3703295,0.28592312,0.1600442,0.37820908,-0.04270917,-0.10627068,0.3555005,0.18048345,0.2321753,0.07979101
8,2,AE0000584747,0.23082094,-0.21742898,0.20192134,-0.114507645,0.29972786,-0.27769518,-0.2928876,0.32554552,-0.31376162,-0.24178606,-0.1613103,-0.2750609,0.22965887,-0.11580165,0.18263827,-0.29178056,0.19758117,-0.32110557,0.29245004,0.29592687,0.17563432,-0.21524677,-0.35537788,0.30167285,0.21964668,0.23896311,-0.3031611,-0.07756427,-0.28419727,-0.103918076,0.39640617,-0.2573583,0.3089427,0.18514362,0.15820064,0.16822095,-0.14541858,0.28034163,0.30766666,0.26613605,0.2437739,0.23064445,-0.11738233,-0.29644793,-0.09014,0.30700606,-0.19114234,0.24174187,0.026092408,-0.21020047,0.15109082,-0.29215294,0.28765598,-0.26134533,0.3450501,0.2663834,0.14881586,0.35186344,-0.039587148,-0.09879586,0.33078596,0.16811842,0.21609905,0.07419402
9,1,AE0000608949,0.1698018,-0.16074787,0.14847288,-0.08363547,0.22055443,-0.20488901,-0.21652715,0.24077399,-0.2309096,-0.17907274,-0.120032914,-0.20343444,0.1681382,-0.0848205,0.13541785,-0.21565615,0.1462738,-0.23708975,0.21642908,0.21824473,0.13023326,-0.15925951,-0.26365402,0.22280248,0.16260964,0.17564268,-0.2241663,-0.057107303,-0.20974015,-0.077504806,0.29251757,-0.19044612,0.22786988,0.1372684,0.1167607,0.12372613,-0.10790044,0.2069841,0.22656168,0.195638,0.17966938,0.16985984,-0.08717222,-0.21887088,-0.067122646,0.2267554,-0.14143738,0.17744245,0.01984456,-0.15542755,0.11152436,-0.21466477,0.21270579,-0.19308653,0.25635636,0.19782765,0.10942086,0.25942883,-0.028633423,-0.072570205,0.24407412,0.12473527,0.15969494,0.054556787
